name	artists	album	cover	href	added_at
サマータイムゴースト	WEDNESDAY CAMPANELLA	サマータイムゴースト	https://i.scdn.co/image/ab67616d0000b273f8b0617954d3de935d18cf24	https://api.spotify.com/v1/tracks/13RKaJCGLEPNoAcWn4j42R	2025-04-03T20:18:18Z
夏の魔法	HoneyComeBear	HappyEND	https://i.scdn.co/image/ab67616d0000b273d1ed37d8dbd343d2253dc659	https://api.spotify.com/v1/tracks/4YKVCPelhhLbNd86q3Gv0W	2025-04-03T10:21:16Z
クロソイド曲線	Natsuko Nisshoku	ミメーシス	https://i.scdn.co/image/ab67616d0000b27356cb7c90882ffca53abed56f	https://api.spotify.com/v1/tracks/6nJioley7AD6Sx0fzK8wwO	2025-03-31T12:29:00Z
ドリー	なきごと	NAKIGOTO,	https://i.scdn.co/image/ab67616d0000b2738b14e3c0adad89982080a6b0	https://api.spotify.com/v1/tracks/3YQN0go0hdRefbT2Lonk21	2025-03-30T23:30:54Z
渦中ロック	Sundae May Club	風がはやい	https://i.scdn.co/image/ab67616d0000b2730f905a43160688e17ce9f813	https://api.spotify.com/v1/tracks/1gc2ol4PmQW6AnV8YJeYLu	2025-03-29T19:47:14Z
カッチンコールたいりく / Freeze Continent	Soichi Terada	Ape Escape 3 - Originape Soundtracks / サルゲッチュ3・オリジサル・サウンドトラック	https://i.scdn.co/image/ab67616d0000b273fdedcd8a360ce0fd483c5ea6	https://api.spotify.com/v1/tracks/0ujIsmyyJMZcq5AhMSZaCm	2025-03-29T19:23:15Z
Summer Beach	Yukiko Okada	贈りものII	https://i.scdn.co/image/ab67616d0000b273b465886a07bd1ee367f62fc5	https://api.spotify.com/v1/tracks/0enzxFpnh9t2ZB5hhB0yrW	2025-03-27T12:39:27Z
Actress in the Mirror (Kimagure Orange Road) - 鏡の中のアクトレス Re:Make	Peter Zimmermann	Smooth Re:Makes	https://i.scdn.co/image/ab67616d0000b27343e23d3bb62bfae67134b613	https://api.spotify.com/v1/tracks/6kHa4viKOGIpH2ugbxvgxa	2025-03-27T12:06:25Z
悲しいハートは燃えている	Kanako Wada	KANA	https://i.scdn.co/image/ab67616d0000b2738c4999a6de085d2bd04df1d9	https://api.spotify.com/v1/tracks/6XZaDbkoFqxZzeqrHWp4do	2025-03-22T18:31:29Z
lunar, Pt. 2 - Slowed	Zachz Winner	lunar, Pt. 2 (Slowed)	https://i.scdn.co/image/ab67616d0000b27359b9319e3325f11fe8c2b8c8	https://api.spotify.com/v1/tracks/5WDpxZfEatudAwCw8caQVY	2025-03-22T17:55:23Z
