name	artists	album	cover	href	added_at
Omoideshiritori	DIALOGUE+	DIALOGUE+1	https://i.scdn.co/image/ab67616d0000b273c1a869d252f9229d2eb17f8b	https://api.spotify.com/v1/tracks/0FnA6x9CTUsZRlYzKJ8pG6	2022-01-21T15:57:28Z
Tomorrow	Mikuni Shimokawa	392 - Mikuni Shimokawa Best Selection -	https://i.scdn.co/image/ab67616d0000b2736e39cda4478c9199669232d7	https://api.spotify.com/v1/tracks/0gJcU8Qeagsris0fVVcJZl	2022-01-16T19:52:39Z
Embrace of light	RAISE A SUILEN	EXIST	https://i.scdn.co/image/ab67616d0000b273b15d240ca840d253fc0fcdf5	https://api.spotify.com/v1/tracks/4KRvB2V5zgHm78ojcr0oSo	2022-01-16T19:47:55Z
乙女のルートはひとつじゃない!	angela	Battle & Message	https://i.scdn.co/image/ab67616d0000b2737c1a2a21227ada0d5ca40c48	https://api.spotify.com/v1/tracks/3LxNYWPLQZ0hHtR2e0v3KP	2022-01-16T19:08:25Z
翼はPleasure Line	栗林みな実	栗林みな実 BEST ALBUMⅡ「passage」	https://i.scdn.co/image/ab67616d0000b27364feceeacdb1a5b5224361f7	https://api.spotify.com/v1/tracks/7IFfjNHvquYE5NulaCTAHm	2022-01-16T18:13:56Z
私たちになりたくて	Yoko Ishida	月色Chainon (Eternal盤)	https://i.scdn.co/image/ab67616d0000b273d47ef53bcf2eb0ef906cbcda	https://api.spotify.com/v1/tracks/1abL7fXmU8TYLuilnpOls5	2022-01-16T18:10:42Z
OUR GOOD DAY・・・僕らのGOOD DAY	Megumi Hayashibara	SHAMROCK	https://i.scdn.co/image/ab67616d0000b2739e0ad71c897b2273d15fccec	https://api.spotify.com/v1/tracks/7nPQYWDCD7OdpHTV9qyWy9	2021-12-30T23:40:19Z
Let Me Dance	Couple N	Let Me Dance	https://i.scdn.co/image/ab67616d0000b2731f42fc5b627289617096845e	https://api.spotify.com/v1/tracks/3CE1EAmnhdWfCrvwDE3hiT	2021-12-30T23:32:31Z
Sugar Rush	your imouto	Sugar Rush	https://i.scdn.co/image/ab67616d0000b27344d365e78d65475c9cba9832	https://api.spotify.com/v1/tracks/4y5JeP0EjjXBi312xJfT5R	2021-12-30T23:32:08Z
Doki Doki	TeaA	Doki Doki	https://i.scdn.co/image/ab67616d0000b273d8ffac90ad891097ed396c33	https://api.spotify.com/v1/tracks/7hbyzLMEZT7Fu2zeN2PF1z	2021-12-30T23:31:46Z
